Registrationnumber	Zaal	Zaaldeel	SCname	Locatie	HS	HSspecific	Foto	LiveScience.SCname	LiveScienceHS	LiveScienceHSspecific	Foto.1	Ontmoeting.SCname	OntmoetingHS	OntmoetingHSspecific	Foto.2	Verleiding.SCname	VerleidingHS	VerleidingHSspecific	Foto.3	Aarde.SCname	AardeHS	AardeHSspecific	Foto.4	Schatkamer.1.0.SCname	Schatkamer.HS	Foto.5	Dood.SCname	DoodHS	DoodHSspecific	Foto.6	Dino.s.SCname	Dino.sHS	Dino.sHSspecific	Foto.7	Mens.SCname	MensHS	MensHSspecific	Foto.8	IJstijd.SCname	IJstijdHS	IJstijdHSspecific	Foto.9	INST_COLL_SUBCOLL	REGISTRATIONNUMBER	TRANSFERREASON	ICOONURL	URL	FULLSCIENTIFICNAME	GENUS	EPITHET
RGM.170002	IJstijd	DD3.2	Crocuta spelaea	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Crocuta spelaea			FALSE	Macro Vertebrates	RGM.170002				Crocuta crocuta spelaea (Goldfuss, 1823)	Crocuta	crocuta
RGM.170037	IJstijd	BB4.1	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.170037				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.170053	IJstijd	DD5.3	Mammuthus primigenius	Toren	toren		FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Mammuthus primigenius	toren		FALSE	Macro Vertebrates	RGM.170053				Mammuthus primigenius Blumenbach, 1799	Mammuthus	primigenius
RGM.170066	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.170066				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.170066	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.170066				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.170067	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.170067				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.170196	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.170196				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.170250	IJstijd	AA2	Coelodonta antiquitatis Blumenbach, 1799	Toren	toren		FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Coelodonta antiquitatis Blumenbach, 1799	toren		FALSE	Macro Vertebrates	RGM.170250				Coelodonta antiquitatis Blumenbach, 1799	Coelodonta	antiquitatis
RGM.170348	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.170348				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.170379	IJstijd	DD3.2	Crocuta spelaea	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Crocuta spelaea			FALSE	Macro Vertebrates	RGM.170379				Crocuta crocuta spelaea (Goldfuss, 1823)	Crocuta	crocuta
RGM.170512	IJstijd	DD8.3	Equus ferus	Draadbaan	Draadbaan	03.09.2	TRUE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Equus ferus	Draadbaan	03.09.2	TRUE	Macro Vertebrates	RGM.170512				Equus caballus L.	Equus	caballus
RGM.170659	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.170659				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.170674	IJstijd	DD5.1	Mammuthus primigenius	Toren	toren		FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Mammuthus primigenius	toren		FALSE	Macro Vertebrates	RGM.170674				Mammuthus primigenius Blumenbach, 1799	Mammuthus	primigenius
RGM.170880	IJstijd	AA6.1	Castor fiber L.	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Castor fiber L.			FALSE	Macro Vertebrates	RGM.170880				Castor fiber L.	Castor	fiber
RGM.171011	IJstijd	AA4.1	Coelodonta antiquitatis	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Coelodonta antiquitatis			FALSE	Macro Vertebrates	RGM.171011				Coelodonta antiquitatis Blumenbach, 1799	Coelodonta	antiquitatis
RGM.171623	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.171623				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.171795	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.171795				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.171811	IJstijd	BB5.1	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.171811				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.171849	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.171849				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.171938	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.171938				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.171939	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.171939				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.171958	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.171958				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.171960	IJstijd	AA2	Coelodonta antiquitatis Blumenbach, 1799	Toren	toren		FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Coelodonta antiquitatis Blumenbach, 1799	toren		FALSE	Macro Vertebrates	RGM.171960				Coelodonta antiquitatis Blumenbach, 1799	Coelodonta	antiquitatis
RGM.171969	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.171969				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.172016	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.172016				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.172020	IJstijd	AA2	Coelodonta antiquitatis Blumenbach, 1799	Toren	toren		FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Coelodonta antiquitatis Blumenbach, 1799	toren		FALSE	Macro Vertebrates	RGM.172020				Coelodonta antiquitatis Blumenbach, 1799	Coelodonta	antiquitatis
RGM.172029	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.172029				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.172069	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.172069				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.172300	IJstijd	DD8.2	Equus hydruntinis	Toren	toren	15/17  1-8-6  V71461 1	FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Equus hydruntinis	toren	15/17  1-8-6  V71461 1	FALSE	Macro Vertebrates	RGM.172300				Equus hydruntinis	Equus	hydruntinis
RGM.172314	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.172314				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.172323	IJstijd	DD5.1	Mammuthus primigenius	Toren	toren		FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Mammuthus primigenius	toren		FALSE	Macro Vertebrates	RGM.172323				Mammuthus primigenius Blumenbach, 1799	Mammuthus	primigenius
RGM.172349	IJstijd	AA7.3	Odobenus rosmarus	Toren	toren	16/17 kast reservering IJstijd	FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Odobenus rosmarus	toren	16/17 kast reservering IJstijd	FALSE	Macro Vertebrates	RGM.172349	gereserveerd voor Geomax 2009			Odobenus sp.	Odobenus	sp.
RGM.172413	IJstijd	DD3.2	Panthera spelaea	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Panthera spelaea			FALSE	Macro Vertebrates	RGM.172413				Panthera spelaea (Goldfuss, 1821)	Panthera	spelaea
RGM.172433	IJstijd	DD3.2	Panthera spelaea	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Panthera spelaea			FALSE	Macro Vertebrates	RGM.172433				Panthera spelaea (Goldfuss, 1821)	Panthera	spelaea
RGM.18170A	Dinos	n/a	Steneosaurus bollensis	Draadbaan	Draadbaan	L.11	FALSE				NA				NA		NA		NA				NA							NA	Steneosaurus bollensis	Draadbaan	L.11	FALSE	NA	NA	NA	NA				NA								
RGM.18183	Dinos	n/a	Pterodactylus antiquus	Draadbaan	Draadbaan	03.03.2	TRUE				NA				NA		NA		NA				NA							NA	Pterodactylus antiquus	Draadbaan	03.03.2	TRUE	NA	NA	NA	NA				NA	Macro Vertebrates	RGM.18183				Pterodactylus antiquus Sömmering, 1812	Pterodactylus	antiquus
RGM.18184	Dinos	n/a	Pterodactylus antiquus	Draadbaan	Draadbaan	03.04.2	TRUE				NA				NA		NA		NA				NA							NA	Pterodactylus antiquus	Draadbaan	03.04.2	TRUE	NA	NA	NA	NA				NA	Macro Vertebrates	RGM.18184	Exhibition "Oerparade" 0112.02.00			Pterodactylus antiquus (Sommering)	Pterodactylus	antiquus
RGM.18188	Dinos	n/a	Plioplatecarpus sp.	Draadbaan	Draadbaan	03.01.1	TRUE				NA				NA		NA		NA				NA							NA	Plioplatecarpus sp.	Draadbaan	03.01.1	TRUE	NA	NA	NA	NA				NA								
RGM.18295	IJstijd	AA4.3	Coelodonta antiquitatis	Draadbaan	Draadbaan	03.08.1	TRUE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Coelodonta antiquitatis	Draadbaan	03.08.1	TRUE	Macro Vertebrates	RGM.18295				Coelodonta antiquitatis Blumenbach, 1799	Coelodonta	antiquitatis
RGM.18324	Dood	808.P.013 (was G.29)	Leptolepis knorri	Toren	Toren		FALSE				NA				NA		NA		NA				NA				Leptolepis knorri	Toren		FALSE				NA	NA	NA	NA	NA				NA	Macro Vertebrates	RGM.18324	Exhibition "Oerparade" 0097.02.00			Leptolepis knorri, (Agassiz)	Leptolepis	knorri
RGM.18344	Dinos	n/a	Pelagosaurus typus	Draadbaan	Draadbaan	03.03.2	TRUE				NA				NA		NA		NA				NA							NA	Pelagosaurus typus	Draadbaan	03.03.2	TRUE	NA	NA	NA	NA				NA	Macro Vertebrates	RGM.18344	Exhibition "Oerparade" 0098.05.00			Pelagosaurus typus	Pelagosaurus	typus
RGM.18347	Dinos	n/a	Plesiosaurus dolichodeirus	Toren	Toren		FALSE				NA				NA		NA		NA				NA							NA	Plesiosaurus dolichodeirus	Toren		FALSE	NA	NA	NA	NA				NA	Macro Vertebrates	RGM.18347				Plesiosaurus dolichodeirus Conybeare, 1821	Plesiosaurus	dolichodeirus
RGM.18349	Dinos	n/a	Stenopterygius quadriscessus	Draadbaan	Draadbaan	L.11	FALSE				NA				NA		NA		NA				NA							NA	Stenopterygius quadriscessus	Draadbaan	L.11	FALSE	NA	NA	NA	NA				NA	Macro Vertebrates	RGM.18349	Exhibition "Oerparade" 0109.01.00			Stenopterygius quadriscissus (von Quenstadt, 1858)	Stenopterygius	quadriscissus
RGM.18355	IJstijd	podium	Megaloceros giganteus	Draadbaan	Draadbaan	tba	FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus	Draadbaan	tba	FALSE	Macro Vertebrates	RGM.18355	Exhibition "Oerparade" 0125.01.00			Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.18356	IJstijd	podium	Ursus spelaea	Draadbaan	Draadbaan	Middenvak	FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Ursus spelaea	Draadbaan	Middenvak	FALSE	Macro Vertebrates	RGM.18356	Exhibition "Oerparade" 0125.01.00			Ursus spelaeus Rosenmueller & Heinroth, 1794	Ursus	spelaeus
RGM.18445	IJstijd	DD3???	Ursus spelaeus	Draadbaan	Draadbaan	03.12.3	TRUE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Ursus spelaeus	Draadbaan	03.12.3	TRUE	Macro Vertebrates	RGM.18445				Ursus spelaeus Rosenmüller & Heinroth, 1794	Ursus	spelaeus
RGM.184731	LiveScience	tba	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat		FALSE	Fossielen Winterswijk	Rooseveltstraat		FALSE				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA				NA	Cainozoic Mollusca	RGM.184731	reserved for LiveScience				Architectonica	carocollata
RGM.18811	IJstijd	CC2.3	Mammuthus primigenius	Toren	toren	15/16 4-3-4 V61303 25	FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Mammuthus primigenius	toren	15/16 4-3-4 V61303 25	FALSE	Macro Vertebrates	RGM.18811				Mammuthus primigenius Blumenbach, 1799	Mammuthus	primigenius
RGM.21025	IJstijd	BB8.3	Bison priscus	Draadbaan	Draadbaan	03.07.3	TRUE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Bison priscus	Draadbaan	03.07.3	TRUE	Macro Vertebrates	RGM.21025				Bison priscus Bojanus, 1825	Bison	priscus
RGM.225129	LiveScience	tba	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat		FALSE	Fossielen Winterswijk	Rooseveltstraat		FALSE				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA				NA	Cainozoic Mollusca	RGM.225129	reserved for LiveScience				Contortia	contorta
RGM.225158	LiveScience	tba	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat		FALSE	Fossielen Winterswijk	Rooseveltstraat		FALSE				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA				NA	Cainozoic Mollusca	RGM.225158	reserved for LiveScience				Trigonostoma	apertum
RGM.225173	LiveScience	tba	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat		FALSE	Fossielen Winterswijk	Rooseveltstraat		FALSE				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA				NA	Cainozoic Mollusca	RGM.225173	reserved for LiveScience				Ventrilia	geslini
RGM.22553	Dood	808.P.013 (was P.014)	Seirocrinus subangularis	Draadbaan	Draadbaan	L.11	FALSE				NA				NA		NA		NA				NA				Seirocrinus subangularis	Draadbaan	L.11	FALSE				NA	NA	NA	NA	NA				NA	Paleontology Invertebrates	RGM.22553				SEIROCRINUS SUBANGULARIS MILLER,1821	Seirocrinus	subangularis
RGM.225871	LiveScience	tba	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat		FALSE	Fossielen Winterswijk	Rooseveltstraat		FALSE				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA				NA	Cainozoic Mollusca	RGM.225871	reserved for LiveScience				Thylacodes	arenarius
RGM.225902	LiveScience	tba	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat		FALSE	Fossielen Winterswijk	Rooseveltstraat		FALSE				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA				NA	Cainozoic Mollusca	RGM.225902	reserved for LiveScience			Cirsotrema (Cirsotrema) crassicostatum (Deshayes, 1839)		
RGM.226046	LiveScience	tba	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat		FALSE	Fossielen Winterswijk	Rooseveltstraat		FALSE				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA				NA	Cainozoic Mollusca	RGM.226046	reserved for LiveScience			Cochlespira corneti (Von Koenen, 1872)	Cochlespira	corneti
RGM.226139	LiveScience	tba	Fossielen Winterswijk	Rooseveltstraat	Rooseveltstraat		FALSE	Fossielen Winterswijk	Rooseveltstraat		FALSE				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA				NA	Cainozoic Mollusca	RGM.226139	reserved for LiveScience				Conus	antidiluvianus
RGM.2531(?)	IJstijd	DD5.3	Mammuthus primigenius	Toren	toren		FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Mammuthus primigenius	toren		FALSE								
RGM.27034	IJstijd	CC2.2	Mammuthus primigenius	Toren	toren	15/16 5-2-4 V61312 25	FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Mammuthus primigenius	toren	15/16 5-2-4 V61312 25	FALSE	Macro Vertebrates	RGM.27034				Mammuthus primigenius Blumenbach, 1799	Mammuthus	primigenius
RGM.273016	LiveScience	tba	Glanerbrug meteoriet	Rooseveltstraat	Rooseveltstraat	Klimaatkast meteorieten	FALSE	Glanerbrug meteoriet	Rooseveltstraat	Klimaatkast meteorieten	FALSE				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA				NA	Petrology	RGM.273016		http://medialib.naturalis.nl/file/id/RGM.273016_5/format/small	http://medialib.naturalis.nl/file/id/RGM.273016_5/format/large	L/LL5		
RGM.28265	IJstijd	AA4.3	Coelodonta antiquitatis	Draadbaan	Draadbaan	03.08.1	TRUE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Coelodonta antiquitatis	Draadbaan	03.08.1	TRUE	Macro Vertebrates	RGM.28265	gereserveerd  voor Geomax 2009			Coelodonta antiquitatis Blumenbach, 1799	Coelodonta	antiquitatis
RGM.28387	IJstijd	DD5.3	Mammuthus primigenius	Toren	toren		FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Mammuthus primigenius	toren		FALSE	Macro Vertebrates	RGM.28387				Mammuthus primigenius Blumenbach, 1799	Mammuthus	primigenius
RGM.2851518	LiveScience	tba	Rozekwarts	Toren	Toren	17rechts, row 123	FALSE	Rozekwarts	Toren	17rechts, row 123	FALSE				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA				NA								
RGM.291267	Dinos	n/a	Faveoloolithus ningxiaensis	Draadbaan	Draadbaan	tba	FALSE				NA				NA		NA		NA				NA							NA	Faveoloolithus ningxiaensis	Draadbaan	tba	FALSE	NA	NA	NA	NA				NA	Macro Vertebrates	RGM.291267	Exhibition "Oerparade" 0108.02.00			Faveoloolithus ningxiaensis	Faveoloolithus	ningxiaensis
RGM.30494	IJstijd	DD8.3	Equus ferus	Draadbaan	Draadbaan	03.09.3	TRUE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Equus ferus	Draadbaan	03.09.3	TRUE	Macro Vertebrates	RGM.30494		http://medialib.naturalis.nl/file/id/RGM.30494_2/format/small	http://medialib.naturalis.nl/file/id/RGM.30494_2/format/large	Equus caballus L.	Equus	caballus
RGM.30503	IJstijd	DD8.3	Equus ferus	Draadbaan	Draadbaan	03.09.3	TRUE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Equus ferus	Draadbaan	03.09.3	TRUE	Macro Vertebrates	RGM.30503				Equus caballus L.	Equus	caballus
RGM.30948	IJstijd	DD8.2	Equus hydruntinis	Toren	toren	15/17  1-8-6  V71461 1 	FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Equus hydruntinis	toren	15/17  1-8-6  V71461 1 	FALSE	Macro Vertebrates	RGM.30948				Equus hydruntinis	Equus	hydruntinis
RGM.33347	IJstijd	AA3.1	Coelodonta antiquitatis	Draadbaan	Draadbaan	03.08.3	TRUE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Coelodonta antiquitatis	Draadbaan	03.08.3	TRUE	Macro Vertebrates	RGM.33347				Coelodonta antiquitatis Blumenbach, 1799	Coelodonta	antiquitatis
RGM.338166	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338166				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338167	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338167				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338168	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338168				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338169	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338169				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338170	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338170				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338171	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338171				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338172	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338172				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338173	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338173				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338174	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338174				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338175	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338175				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338176	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338176				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338177	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338177				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338178	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338178	N.I.C.			Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338179	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338179				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338191	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338191				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338449	IJstijd	BB4.1	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338449				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338519	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338519				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338566	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338566				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338568	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338568				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.33860	IJstijd	CC4.2	Mammuthus primigenius	Toren	toren		FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Mammuthus primigenius	toren		FALSE	Macro Vertebrates	RGM.33860				Mammuthus primigenius Blumenbach, 1799	Mammuthus	primigenius
RGM.338611	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338611				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338612	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338612				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
RGM.338613	IJstijd	BB5.2	Megaloceros giganteus	Toren			FALSE				NA				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA	Megaloceros giganteus			FALSE	Macro Vertebrates	RGM.338613				Megaceros giganteus Blumenbach, 1799	Megaceros	giganteus
