Registrationnumber	Zaal	Zaaldeel	SCname	Locatie	HS	HSspecific	Foto	LiveScience.SCname	LiveScienceHS	LiveScienceHSspecific	Foto.1	Ontmoeting.SCname	OntmoetingHS	OntmoetingHSspecific	Foto.2	Verleiding.SCname	VerleidingHS	VerleidingHSspecific	Foto.3	Aarde.SCname	AardeHS	AardeHSspecific	Foto.4	Schatkamer.1.0.SCname	Schatkamer.HS	Foto.5	Dood.SCname	DoodHS	DoodHSspecific	Foto.6	Dino.s.SCname	Dino.sHS	Dino.sHSspecific	Foto.7	Mens.SCname	MensHS	MensHSspecific	Foto.8	IJstijd.SCname	IJstijdHS	IJstijdHSspecific	Foto.9	INST_COLL_SUBCOLL	REGISTRATIONNUMBER	TRANSFERREASON	ICOONURL	URL	FULLSCIENTIFICNAME	GENUS	EPITHET
3114	LiveScience	tba	Jongmans plantfossielen: Neuropteris schwarzei	Toren	Toren	14R	FALSE	Jongmans plantfossielen: Neuropteris schwarzei	Toren	14R	FALSE				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA				NA								
12296	LiveScience	tba	Jongmans plantfossielen: Lepidodendron sp	Toren	Toren	14R	FALSE	Jongmans plantfossielen: Lepidodendron sp	Toren	14R	FALSE				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA				NA								
61591	LiveScience	tba	Jongmans plantfossielen: Cordaties principalis	Toren	Toren	14R	FALSE	Jongmans plantfossielen: Cordaties principalis	Toren	14R	FALSE				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA				NA								
64597	LiveScience	tba	Jongmans plantfossielen: Calamites sp	Toren	Toren	14R	FALSE	Jongmans plantfossielen: Calamites sp	Toren	14R	FALSE				NA		NA		NA				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1031	Verleiding	803.N.007.C1 Etagere 1	Anas platyrhynchos	Draadbaan		05.01.2	TRUE				NA				NA	Anas platyrhynchos	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.105	Verleiding	803.N.007.C2 Etagere 2	Hippolais icterina	Draadbaan		05.01.2	TRUE				NA				NA	Hippolais icterina	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1050	Verleiding	803.N.007.C2 Etagere 2	Accipiter nisus	Draadbaan		05.01.2	TRUE				NA				NA	Accipiter nisus	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1084	Verleiding	803.N.007.C2 Etagere 2	Lullula arborea	Draadbaan		05.01.2	TRUE				NA				NA	Lullula arborea	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1095	Verleiding	803.N.007.C2 Etagere 2	Acrocephalus arundinaceus	Draadbaan		05.01.2	TRUE				NA				NA	Acrocephalus arundinaceus	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.112	Verleiding	803.N.007.C2 Etagere 2	Phoenicurus phoenicurus	Draadbaan		05.01.2	TRUE				NA				NA	Phoenicurus phoenicurus	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.116	Verleiding	803.N.007.C2 Etagere 2	Motacilla alba	Draadbaan		05.01.2	TRUE				NA				NA	Motacilla alba	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.117	Verleiding	803.N.007.C1 Etagere 1	Anthus pratensis	Draadbaan		05.01.2	TRUE				NA				NA	Anthus pratensis	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.122g	Verleiding	803.N.007.C1 Etagere 1	Vanellus vanellus	Draadbaan		05.01.2	TRUE				NA				NA	Vanellus vanellus	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.123	Verleiding	803.N.007.C1 Etagere 1	Oriolus oriolus	Draadbaan		05.01.2	TRUE				NA				NA	Oriolus oriolus	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.131	Verleiding	803.N.007.C1 Etagere 1	Podiceps cristatus	Draadbaan		05.01.2	TRUE				NA				NA	Podiceps cristatus	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.132	Verleiding	803.N.007.C1 Etagere 1	Accipiter nisus	Draadbaan		05.01.2	TRUE				NA				NA	Accipiter nisus	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1330	Verleiding	803.N.007.C1 Etagere 1	Corvus monedula	Draadbaan		05.01.2	TRUE				NA				NA	Corvus monedula	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1384	Verleiding	803.N.007.C2 Etagere 2	Carduelis carduelis	Draadbaan		05.01.2	TRUE				NA				NA	Carduelis carduelis	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1385	Verleiding	803.N.007.C2 Etagere 2	Luscinia megarhynchos	Draadbaan		05.01.2	TRUE				NA				NA	Luscinia megarhynchos	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1390	Verleiding	803.N.007.C2 Etagere 2	Anser anser	Draadbaan		05.01.2	TRUE				NA				NA	Anser anser	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1449	Verleiding	803.N.007.C1 Etagere 1	Falco tinnunculus	Draadbaan		05.01.2	TRUE				NA				NA	Falco tinnunculus	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1461	Verleiding	803.N.007.C2 Etagere 2	Streptopelia turtur	Draadbaan		05.01.2	TRUE				NA				NA	Streptopelia turtur	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1494	Verleiding	803.N.007.C2 Etagere 2	Ciconia ciconia	Draadbaan		05.01.2	TRUE				NA				NA	Ciconia ciconia	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1514	Verleiding	803.N.007.C2 Etagere 2	Certhia brachydactyla	Draadbaan		05.01.2	TRUE				NA				NA	Certhia brachydactyla	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1546	Verleiding	803.N.007.C1 Etagere 1	Phalacrocorax carbo	Draadbaan		05.01.2	TRUE				NA				NA	Phalacrocorax carbo	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1561	Verleiding	803.N.007.C1 Etagere 1	Phasianus colchicus	Draadbaan		05.01.2	TRUE				NA				NA	Phasianus colchicus	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1631	Verleiding	803.N.007.C1 Etagere 1	Hirundo rustica	Draadbaan		05.01.2	TRUE				NA				NA	Hirundo rustica	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1680	Verleiding	803.N.007.C2 Etagere 2	Uria aalge	Draadbaan		05.01.2	TRUE				NA				NA	Uria aalge	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1681	Verleiding	803.N.007.C2 Etagere 2	Ardea cinerea	Draadbaan		05.01.2	TRUE				NA				NA	Ardea cinerea	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1687	Verleiding	803.N.007.C1 Etagere 1	Gavia stellata	Draadbaan		05.01.2	TRUE				NA				NA	Gavia stellata	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1694	Verleiding	803.N.007.C2 Etagere 2	Larus marinus	Draadbaan		05.01.2	TRUE				NA				NA	Larus marinus	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
Ave.ei.1721	Verleiding	803.N.007.C2 Etagere 2	Coturnix coturnix	Draadbaan		05.01.2	TRUE				NA				NA	Coturnix coturnix	NA	05.01.2	TRUE				NA							NA				NA	NA	NA	NA	NA				NA								
