	Totaal							LiveScience				Ontmoeting				Verleiding				Aarde				Schatkamer 1.0			Dood				Dino's				Mens				IJstijd			
Registrationnumber	Zaal	Zaaldeel	SCname	Locatie 	HS	HSspecific	Foto	LiveScience SCname	LiveScienceHS	LiveScienceHSspecific	Foto	Ontmoeting SCname	OntmoetingHS	OntmoetingHSspecific	Foto	Verleiding SCname	VerleidingHS	VerleidingHSspecific	Foto	Aarde SCname	AardeHS	AardeHSspecific	Foto	Schatkamer 1.0 SCname	Schatkamer HS	Foto	Dood SCname	DoodHS	DoodHSspecific	Foto	Dino's SCname	Dino'sHS	Dino'sHSspecific	Foto	Mens SCname	MensHS	MensHSspecific	Foto	IJstijd SCname	IJstijdHS	IJstijdHSspecific	Foto
3114	LiveScience	tba	Jongmans plantfossielen: Neuropteris schwarzei	Toren	Toren	14R	FALSE	Jongmans plantfossielen: Neuropteris schwarzei	Toren	14R	FALSE																															
12296	LiveScience	tba	Jongmans plantfossielen: Lepidodendron sp	Toren	Toren	14R	FALSE	Jongmans plantfossielen: Lepidodendron sp	Toren	14R	FALSE																															
61591	LiveScience	tba	Jongmans plantfossielen: Cordaties principalis	Toren	Toren	14R	FALSE	Jongmans plantfossielen: Cordaties principalis	Toren	14R	FALSE																															
64597	LiveScience	tba	Jongmans plantfossielen: Calamites sp	Toren	Toren	14R	FALSE	Jongmans plantfossielen: Calamites sp	Toren	14R	FALSE																															
Ave.ei.1031	Verleiding	803.N.007.C1 Etagere 1	Anas platyrhynchos	Draadbaan		05.01.2	TRUE									Anas platyrhynchos		05.01.2	TRUE																							
Ave.ei.105	Verleiding	803.N.007.C2 Etagere 2	Hippolais icterina	Draadbaan		05.01.2	TRUE									Hippolais icterina		05.01.2	TRUE																							
Ave.ei.1050	Verleiding	803.N.007.C2 Etagere 2	Accipiter nisus	Draadbaan		05.01.2	TRUE									Accipiter nisus		05.01.2	TRUE																							
Ave.ei.1084	Verleiding	803.N.007.C2 Etagere 2	Lullula arborea	Draadbaan		05.01.2	TRUE									Lullula arborea		05.01.2	TRUE																							
Ave.ei.1095	Verleiding	803.N.007.C2 Etagere 2	Acrocephalus arundinaceus	Draadbaan		05.01.2	TRUE									Acrocephalus arundinaceus		05.01.2	TRUE																							
Ave.ei.112	Verleiding	803.N.007.C2 Etagere 2	Phoenicurus phoenicurus	Draadbaan		05.01.2	TRUE									Phoenicurus phoenicurus		05.01.2	TRUE																							
Ave.ei.116	Verleiding	803.N.007.C2 Etagere 2	Motacilla alba	Draadbaan		05.01.2	TRUE									Motacilla alba		05.01.2	TRUE																							
Ave.ei.117	Verleiding	803.N.007.C1 Etagere 1	Anthus pratensis	Draadbaan		05.01.2	TRUE									Anthus pratensis		05.01.2	TRUE																							
Ave.ei.122g	Verleiding	803.N.007.C1 Etagere 1	Vanellus vanellus	Draadbaan		05.01.2	TRUE									Vanellus vanellus		05.01.2	TRUE																							
Ave.ei.123	Verleiding	803.N.007.C1 Etagere 1	Oriolus oriolus	Draadbaan		05.01.2	TRUE									Oriolus oriolus		05.01.2	TRUE																							
Ave.ei.131	Verleiding	803.N.007.C1 Etagere 1	Podiceps cristatus	Draadbaan		05.01.2	TRUE									Podiceps cristatus		05.01.2	TRUE																							
Ave.ei.132	Verleiding	803.N.007.C1 Etagere 1	Accipiter nisus	Draadbaan		05.01.2	TRUE									Accipiter nisus		05.01.2	TRUE																							
Ave.ei.1330	Verleiding	803.N.007.C1 Etagere 1	Corvus monedula	Draadbaan		05.01.2	TRUE									Corvus monedula		05.01.2	TRUE																							
Ave.ei.1384	Verleiding	803.N.007.C2 Etagere 2	Carduelis carduelis	Draadbaan		05.01.2	TRUE									Carduelis carduelis		05.01.2	TRUE																							
Ave.ei.1385	Verleiding	803.N.007.C2 Etagere 2	Luscinia megarhynchos	Draadbaan		05.01.2	TRUE									Luscinia megarhynchos		05.01.2	TRUE																							
Ave.ei.1390	Verleiding	803.N.007.C2 Etagere 2	Anser anser	Draadbaan		05.01.2	TRUE									Anser anser		05.01.2	TRUE																							
Ave.ei.1449	Verleiding	803.N.007.C1 Etagere 1	Falco tinnunculus	Draadbaan		05.01.2	TRUE									Falco tinnunculus		05.01.2	TRUE																							
Ave.ei.1461	Verleiding	803.N.007.C2 Etagere 2	Streptopelia turtur	Draadbaan		05.01.2	TRUE									Streptopelia turtur		05.01.2	TRUE																							
Ave.ei.1494	Verleiding	803.N.007.C2 Etagere 2	Ciconia ciconia	Draadbaan		05.01.2	TRUE									Ciconia ciconia		05.01.2	TRUE																							
Ave.ei.1514	Verleiding	803.N.007.C2 Etagere 2	Certhia brachydactyla	Draadbaan		05.01.2	TRUE									Certhia brachydactyla		05.01.2	TRUE																							
