Ave.ei.1546	Verleiding	803.N.007.C1 Etagere 1	Phalacrocorax carbo	Draadbaan		05.01.2	TRUE									Phalacrocorax carbo		05.01.2	TRUE																							
Ave.ei.1561	Verleiding	803.N.007.C1 Etagere 1	Phasianus colchicus	Draadbaan		05.01.2	TRUE									Phasianus colchicus		05.01.2	TRUE																							
Ave.ei.1631	Verleiding	803.N.007.C1 Etagere 1	Hirundo rustica	Draadbaan		05.01.2	TRUE									Hirundo rustica		05.01.2	TRUE																							
Ave.ei.1680	Verleiding	803.N.007.C2 Etagere 2	Uria aalge	Draadbaan		05.01.2	TRUE									Uria aalge		05.01.2	TRUE																							
Ave.ei.1681	Verleiding	803.N.007.C2 Etagere 2	Ardea cinerea	Draadbaan		05.01.2	TRUE									Ardea cinerea		05.01.2	TRUE																							
Ave.ei.1687	Verleiding	803.N.007.C1 Etagere 1	Gavia stellata	Draadbaan		05.01.2	TRUE									Gavia stellata		05.01.2	TRUE																							
Ave.ei.1694	Verleiding	803.N.007.C2 Etagere 2	Larus marinus	Draadbaan		05.01.2	TRUE									Larus marinus		05.01.2	TRUE																							
Ave.ei.1721	Verleiding	803.N.007.C2 Etagere 2	Coturnix coturnix	Draadbaan		05.01.2	TRUE									Coturnix coturnix		05.01.2	TRUE																							
Ave.ei.18	Verleiding	803.N.007.C1 Etagere 1	Cygnus olor	Draadbaan		05.01.2	TRUE									Cygnus olor		05.01.2	TRUE																							
Ave.ei.180	Verleiding	803.N.007.C2 Etagere 2	Sturnus vulgaris	Draadbaan		05.01.2	TRUE									Sturnus vulgaris		05.01.2	TRUE																							
Ave.ei.208a	Verleiding	803.N.007.C1 Etagere 1	Alcedo atthis	Draadbaan		05.01.2	TRUE									Alcedo atthis		05.01.2	TRUE																							
Ave.ei.217i	Verleiding	803.N.007.C1 Etagere 1	Hirundo rustica	Draadbaan		05.01.2	TRUE									Hirundo rustica		05.01.2	TRUE																							
Ave.ei.25	Verleiding	803.N.007.C2 Etagere 2	Prunella modularis	Draadbaan		05.01.2	TRUE									Prunella modularis		05.01.2	TRUE																							
Ave.ei.259	Verleiding	803.N.007.C1 Etagere 1	Delichon urbica	Draadbaan		05.01.2	TRUE									Delichon urbica		05.01.2	TRUE																							
Ave.ei.265b	Verleiding	803.N.007.C2 Etagere 2	Muscicapa striata	Draadbaan		05.01.2	TRUE									Muscicapa striata		05.01.2	TRUE																							
Ave.ei.404	Verleiding	803.N.007.C2 Etagere 2	Parus major	Draadbaan		05.01.2	TRUE									Parus major		05.01.2	TRUE																							
Ave.ei.74	Verleiding	803.N.007.C2 Etagere 2	Turdus merula	Draadbaan		05.01.2	TRUE									Turdus merula		05.01.2	TRUE																							
Ave.ei.800	Verleiding	803.N.007.C1 Etagere 1	Turdus philomelos	Draadbaan		05.01.2	TRUE									Turdus philomelos		05.01.2	TRUE																							
Ave.ei.97	Verleiding	803.N.007.C1 Etagere 1	Numenius arquata	Draadbaan		05.01.2	TRUE									Numenius arquata		05.01.2	TRUE																							
Ave.ei.98b	Verleiding	803.N.007.C2 Etagere 2	Coturnix coturnix	Draadbaan		05.01.2	TRUE									Coturnix coturnix		05.01.2	TRUE																							
RMNH.MAM.60526	Ontmoeting	802.L.001.001.01 Getijdenzone land	Halichoerus grypus (Fabricius, 1791)	Extern	Extern		FALSE					Halichoerus grypus (Fabricius, 1791)	Extern		FALSE																											
BE.2312339	Dood	808.P.013	Anthrenus verbasci	Vondellaan	Vondellaan	Rob	FALSE																				Anthrenus verbasci	Vondellaan	Rob	FALSE												
RMNH.MAM.60525	Ontmoeting	802.L.001.002.01 Laag 2 - Rond de waterplaats 1	tba	Extern	Extern		FALSE					tba	Extern		FALSE																											
RMNH.MAM.60073	Ontmoeting	802.L.001.004.02 Landdieren / Afrikaanse olifant e.a.	Isoodon sp.	Onbekend	Onbekend		FALSE					Isoodon sp.	Onbekend		FALSE																											
hoeft niet ivm grote aantallen	LiveScience	tba	Oude en nieuwe cilinders (1,5 vierkante meter)	Toren	Toren	1rechts	FALSE	Oude en nieuwe cilinders (1,5 vierkante meter)	Toren	1rechts	FALSE																															
hoeft niet ivm grote aantallen	LiveScience	tba	Oude en nieuwe cilinders (1,5 vierkante meter)	Toren	Toren	1rechts	FALSE	Oude en nieuwe cilinders (1,5 vierkante meter)	Toren	1rechts	FALSE																															
JMS.61589	LiveScience	tba	Jongmans plantfossielen: Lepidoderdron ophiurus	Toren	Toren	14R	FALSE	Jongmans plantfossielen: Lepidoderdron ophiurus	Toren	14R	FALSE																															
JMS.61608	LiveScience	tba	Jongmans plantfossielen: Calamites sp	Toren	Toren	14R	FALSE	Jongmans plantfossielen: Calamites sp	Toren	14R	FALSE																															
L.0204027	LiveScience	tba	een grote alcoholpot met de Penisplant (Araceae)	Toren	Toren	17L	FALSE	een grote alcoholpot met de Penisplant (Araceae)	Toren	17L	FALSE																															
tba.802.046	Ontmoeting	802.W.001 Diepzee	Architeuthis spec	Extern	Extern		FALSE					Architeuthis spec	Extern		FALSE																											
L.2055351	Verleiding	803.N.010.C9 Open stukken	Lodoicea maldivica	Draadbaan		05.08.1	TRUE									Lodoicea maldivica		05.08.1	TRUE																							
L.2078703	Verleiding	803.V.001.C Etalage Geur	Lilium martagon	Draadbaan		06.04.2	TRUE									Lilium martagon		06.04.2	TRUE																							
L.2111700	Verleiding	803.N.002.C Nieuw leven	Fragaria spec.	Draadbaan		05.03.1	FALSE									Fragaria spec.		05.03.1	FALSE																							
L.2078710	Verleiding	803.V.002.C Etalage Opvallen	Digitalis purpurea	Draadbaan		06.05.2	TRUE									Digitalis purpurea		06.05.2	TRUE																							
L.2078713	Verleiding	803.V.001.C Etalage Geur	Pisum sativum	Draadbaan		06.04.2	TRUE									Pisum sativum		06.04.2	TRUE																							
L.2078714	LiveScience	tba	Saxifraga granulata	Draadbaan	Draadbaan	Vide, in stellingskasten	FALSE	Saxifraga granulata	Draadbaan	Vide, in stellingskasten	FALSE																															
L.2078718	Verleiding	803.V.002.C Etalage Opvallen	Hyoscyamus niger	Draadbaan		06.05.2	FALSE									Hyoscyamus niger		06.05.2	FALSE																							
ZMA.ECH.4143	Verleiding	803.N.002.C Nieuw leven	Linckia guildingi	Toren		TOREN	FALSE									Linckia guildingi		TOREN	FALSE																							
L.2078726	Verleiding	803.N.003.C Feesttaart	Oenothera biennis	Draadbaan		05.03.2	FALSE									Oenothera biennis		05.03.2	FALSE																							
L.2078727	Verleiding	803.N.003.C Feesttaart	Phaseolus coccineus	Draadbaan		05.02.2	FALSE									Phaseolus coccineus		05.02.2	FALSE																							
L.2078734	LiveScience	tba	Juglans regina	Draadbaan	Draadbaan	Vide, in stellingskasten	FALSE	Juglans regina	Draadbaan	Vide, in stellingskasten	FALSE																															
L.2111701	Verleiding	803.N.003.C Feesttaart	Nephrolepis spec.	Onbekend			FALSE									Nephrolepis spec.			FALSE																							
L.2078736	LiveScience	tba	Quercus ruber	Draadbaan	Draadbaan	Vide, in stellingskasten	FALSE	Quercus ruber	Draadbaan	Vide, in stellingskasten	FALSE																															
L.2111702	Verleiding	803.N.003.C Feesttaart	Coniferae spec.	Onbekend			FALSE									Coniferae spec.			FALSE																							
L.2078763	LiveScience	tba	Ricinus communis	Draadbaan	Draadbaan	Vide, in stellingskasten	FALSE	Ricinus communis	Draadbaan	Vide, in stellingskasten	FALSE																															
L.2078765	Verleiding	803.N.003.C Feesttaart	Pinus sylvestris	Draadbaan		05.02.2	FALSE									Pinus sylvestris		05.02.2	FALSE																							
L.2078766	LiveScience	tba	Juniperus communis	Draadbaan	Draadbaan	Vide, in stellingskasten	FALSE	Juniperus communis	Draadbaan	Vide, in stellingskasten	FALSE																															
L.2078767	LiveScience	tba	Alnus glutunosa	Draadbaan	Draadbaan	Vide, in stellingskasten	FALSE	Alnus glutunosa	Draadbaan	Vide, in stellingskasten	FALSE																															
L.2078771	Verleiding	803.S.004.C Man én vrouw	Corylus avellana	Draadbaan		06.14.1	FALSE									Corylus avellana		06.14.1	FALSE																							
L.2078785	LiveScience	tba	Secala cereal	Draadbaan	Draadbaan	Vide, in stellingskasten	FALSE	Secala cereal	Draadbaan	Vide, in stellingskasten	FALSE																															
L.2078809	Verleiding	803.V.002.C Etalage Opvallen	Digitalis purpurea	Draadbaan		06.05.2	TRUE									Digitalis purpurea		06.05.2	TRUE																							
L.2110007	LiveScience	tba	Daphne mezerium	Draadbaan	Draadbaan	Vide, in stellingskasten	FALSE	Daphne mezerium	Draadbaan	Vide, in stellingskasten	FALSE																															
RMNH.ECH.125	Verleiding	803.N.003.C Feesttaart	Gracilechinus acutus	Toren		TOREN	FALSE									Gracilechinus acutus		TOREN	FALSE																							
L.2110130	Verleiding	803.V.002.C Etalage Opvallen	Orchis militaris	Draadbaan		06.05.2	TRUE									Orchis militaris		06.05.2	TRUE																							
L.2110563	Verleiding	803.S.002.C1 Gereedschap	Pisum sativum	Draadbaan		05.14.3	FALSE									Pisum sativum		05.14.3	FALSE																							
RMNH.ECH.128	Verleiding	803.N.003.C Feesttaart	Gracilechinus acutus	Toren		TOREN	FALSE									Gracilechinus acutus		TOREN	FALSE																							
RMNH.ECH.4676	Verleiding	803.N.003.C Feesttaart	Gracilechinus acutus	Toren		TOREN	FALSE									Gracilechinus acutus		TOREN	FALSE																							
L.2110566	Verleiding	803.V.002.C Etalage Opvallen	Viola tricolor	Draadbaan		06.05.1	FALSE									Viola tricolor		06.05.1	FALSE																							
RMNH.INS.1104781	Verleiding	803.N.003.C Feesttaart	Mantis religiosa	Vondellaan		Vondellaan, Luc	FALSE									Mantis religiosa		Vondellaan, Luc	FALSE																							
RMNH.INS.1104782	Verleiding	803.N.003.C Feesttaart	Mantis religiosa	Vondellaan		Vondellaan, Luc	FALSE									Mantis religiosa		Vondellaan, Luc	FALSE																							
L.2110814	Verleiding	803.N.010.C8 Letterbak 8	Rhizophora spec.	Draadbaan		5.12.1	FALSE									Rhizophora spec.		5.12.1	FALSE																							
RMNH.INS.1104784	Verleiding	803.N.003.C Feesttaart	Carausius morosus	Vondellaan		Vondellaan, Luc	FALSE									Carausius morosus		Vondellaan, Luc	FALSE																							
L.2110816	Verleiding	803.N.010.C8 Letterbak 8	Hevea spec.	Draadbaan		5.12.1	FALSE									Hevea spec.		5.12.1	FALSE																							
L.2110817	Verleiding	803.N.010.C8 Letterbak 8	Entada spec.	Draadbaan		5.12.1	FALSE									Entada spec.		5.12.1	FALSE																							
L.2110818	Verleiding	803.N.010.C8 Letterbak 8	Euphorbia	Draadbaan		05.12.1	FALSE									Euphorbia		05.12.1	FALSE																							
L.2111648	Dood		tba	Draadbaan	Draadbaan	03.06.3	FALSE																				tba	Draadbaan	03.06.3	FALSE												
L.2111649	Dood	808.C.03.A	Exidia thuretiana	Draadbaan	Draadbaan	03.06.3	TRUE																				Exidia thuretiana	Draadbaan	03.06.3	TRUE												
L.2111650	Dood	808.C.03.A	Polyporus varius	Draadbaan	Draadbaan	03.06.3	TRUE																				Polyporus varius	Draadbaan	03.06.3	TRUE												
L.2111651	Dood	808.C.03.A	Armillaria mellea	Draadbaan	Draadbaan	03.06.3	TRUE																				Armillaria mellea	Draadbaan	03.06.3	TRUE												
L.2111652	Dood	808.C.03.A	Trametes versicolor	Draadbaan	Draadbaan	03.06.3	TRUE																				Trametes versicolor	Draadbaan	03.06.3	TRUE												
L.2111653	Dood	808.C.03.A	Pholiota squarrosa	Draadbaan	Draadbaan	03.06.3	TRUE																				Pholiota squarrosa	Draadbaan	03.06.3	TRUE												
L.2111654	Dood	808.C.03.A	Schizopora paradoxa	Draadbaan	Draadbaan	03.06.3	TRUE																				Schizopora paradoxa	Draadbaan	03.06.3	TRUE												
L.2111655	Dood	808.C.03.A	Hypoxylon fragiforme	Draadbaan	Draadbaan	03.06.3	TRUE																				Hypoxylon fragiforme	Draadbaan	03.06.3	TRUE												
L.2111656	Dood	808.C.03.A	Daldinia concentraca	Draadbaan	Draadbaan	03.06.3	TRUE																				Daldinia concentraca	Draadbaan	03.06.3	TRUE												
L.2111657	Dood	808.C.03.A	Polyporus brumalis	Draadbaan	Draadbaan	03.06.3	TRUE																				Polyporus brumalis	Draadbaan	03.06.3	TRUE												
L.2111658	Dood	808.C.03.A	Bjerkandera fumosa	Draadbaan	Draadbaan	03.06.3	TRUE																				Bjerkandera fumosa	Draadbaan	03.06.3	TRUE												
L.2111659	Dood	808.C.03.A	Xylaria polymorpha	Draadbaan	Draadbaan	03.06.3	TRUE																				Xylaria polymorpha	Draadbaan	03.06.3	TRUE												
L.2111660	Dood	808.C.03.A	Xylaria polymorpha	Draadbaan	Draadbaan	03.06.3	TRUE																				Xylaria polymorpha	Draadbaan	03.06.3	TRUE												
L.2111661	Dood	808.C.03.A	Xylaria hypoxylon	Draadbaan	Draadbaan	03.06.3	TRUE																				Xylaria hypoxylon	Draadbaan	03.06.3	TRUE												
L.2111662	Dood	808.C.03.A	Diatrype disciformes	Draadbaan	Draadbaan	03.06.3	TRUE																				Diatrype disciformes	Draadbaan	03.06.3	TRUE												
L.2111663	Verleiding	803.V.001.C Etalage Geur	Victoria amazonica	Draadbaan		06.04.2	TRUE									Victoria amazonica		06.04.2	TRUE																							
RMNH.INS.1104785	Verleiding	803.N.003.C Feesttaart	Carausius morosus	Vondellaan		Vondellaan, Luc	FALSE									Carausius morosus		Vondellaan, Luc	FALSE																							
RMNH.MAM.1000	Verleiding	803.N.003.C Feesttaart	Dama dama	Toren		Toren, 13L, gang 3, 2e R	FALSE									Dama dama		Toren, 13L, gang 3, 2e R	FALSE																							
RMNH.MAM.4554	Verleiding	803.N.003.C Feesttaart	Ovis Aries	Toren		Toren, 13L, gang 5, 1e R	FALSE									Ovis Aries		Toren, 13L, gang 5, 1e R	FALSE																							
L.2111670	Verleiding	803.V.001.C Etalage Geur	Lonicera periclymenum	Draadbaan		06.04.2	FALSE									Lonicera periclymenum		06.04.2	FALSE																							
RMNH.MOL.110216	Verleiding	803.N.003.C Feesttaart	Sepia officinalis, Linnaeus, 1758	Vondellaan		Vondellaan	FALSE									Sepia officinalis, Linnaeus, 1758		Vondellaan	FALSE																							
L.2111672	Verleiding	803.V.001.C Etalage Geur	Magnolia spec.	Draadbaan		06.03.1	FALSE									Magnolia spec.		06.03.1	FALSE																							
RMNH.MOL.110856	Verleiding	803.N.003.C Feesttaart	Sepia officinalis, Linnaeus, 1759	Toren		TOREN	FALSE									Sepia officinalis, Linnaeus, 1759		TOREN	FALSE																							
RMNH.MOL.271578	Verleiding	803.N.003.C Feesttaart	Achatina schweinfurthi	Toren		TOREN	FALSE									Achatina schweinfurthi		TOREN	FALSE																							
RMNH.MOL.338743	Verleiding	803.N.003.C Feesttaart	Syrinx aruanus	Toren		TOREN	FALSE									Syrinx aruanus		TOREN	FALSE																							
L.2111679	Verleiding	803.V.001.C Etalage Geur	Calla spec.	Draadbaan		06.04.2	FALSE									Calla spec.		06.04.2	FALSE																							
L.2111680	Dood	808.P.002	tba	Vondellaan	Lizette 		FALSE																				tba	Lizette 		FALSE												
L.2111681	Dood	808.P.003	tba	Vondellaan	Vondelaan		FALSE																				tba	Vondelaan		FALSE												
RMNH.PISC.17501	Verleiding	803.N.003.C Feesttaart	Anguilla anguilla	Toren		Toren	FALSE									Anguilla anguilla		Toren	FALSE																							
L.2111684	Dood	808.P.005	Populus spec.	Draadbaan	Draadbaan	BG	FALSE																				Populus spec.	Draadbaan	BG	FALSE												
L.2111685	Dood	808.C.03.A	Fagus sylvatica	Draadbaan	Draadbaan		FALSE																				Fagus sylvatica	Draadbaan		FALSE												
L.2111686	Dood	808.C.03.A	Fagus sylvatica	Draadbaan	Draadbaan	03.06.1	FALSE																				Fagus sylvatica	Draadbaan	03.06.1	FALSE												
L.2111687	Verleiding	803.N.003.C Feesttaart	Cocos nucifera	Draadbaan	Draadbaan	05.03.2	TRUE									Cocos nucifera		05.03.2	TRUE								Hypholoma fasciculare	Draadbaan		FALSE												
L.2111687	Verleiding	803.N.003.C Feesttaart	Cocos nucifera	Draadbaan	Draadbaan	05.03.2	TRUE									Cocos nucifera		05.03.2	TRUE								Hypholoma fasciculare	Draadbaan		FALSE												
L.2111687	Verleiding	803.N.003.C Feesttaart	Cocos nucifera	Draadbaan	Draadbaan	05.03.2	TRUE									Cocos nucifera		05.03.2	TRUE								Hypholoma fasciculare	Draadbaan		FALSE												
L.2111689	Verleiding	803.V.002.C Etalage Opvallen	Gloriosa spec.	Draadbaan		06.05.1	TRUE									Gloriosa spec.		06.05.1	TRUE																							
L.2111690	Verleiding	803.V.002.C Etalage Opvallen	Oncidium spec.	Draadbaan		06.05.1	FALSE									Oncidium spec.		06.05.1	FALSE																							
RMNH.PISC.17806	Verleiding	803.N.003.C Feesttaart	Mola mola	Toren		TOREN, 20 L	FALSE									Mola mola		TOREN, 20 L	FALSE																							
L.2111692	Verleiding	803.V.002.C Etalage Opvallen	Strelitzia spec.	Draadbaan		06.04.3	TRUE									Strelitzia spec.		06.04.3	TRUE																							
RMNH.PISC.17807	Verleiding	803.N.003.C Feesttaart	Mola mola	Toren		TOREN, 20 L	FALSE									Mola mola		TOREN, 20 L	FALSE																							
L.2111694	Verleiding	803.V.004.C Etalage Cadeaus	Carnegiea gigantea	Draadbaan		06.07.3	TRUE									Carnegiea gigantea		06.07.3	TRUE																							
L.2111695	Verleiding	803.S.002.C1 Gereedschap	Rosa canina	Draadbaan		05.14.3	TRUE									Rosa canina		05.14.3	TRUE																							
L.2111696	Verleiding	803.S.002.C1 Gereedschap	Secale cereale	Draadbaan		05.14.3	TRUE									Secale cereale		05.14.3	TRUE																							
L.2111698	Dood	808.P.003	Lactarius controversus	Draadbaan	Draadbaan	04.10.3	TRUE																				Lactarius controversus	Draadbaan	04.10.3	TRUE												
RMNH.PISC.38207	Verleiding	803.N.003.C Feesttaart	Anguilla anguilla	Toren		Toren	FALSE									Anguilla anguilla		Toren	FALSE																							
RMNH.PISC.38483	Verleiding	803.N.003.C Feesttaart	Mola mola	Draadbaan		5.00.0	FALSE									Mola mola		5.00.0	FALSE																							
RMNH.PISC.38643	Verleiding	803.N.003.C Feesttaart	Pterois spec.	Toren		TOREN, 20 L	FALSE									Pterois spec.		TOREN, 20 L	FALSE																							
RMNH.PISC.38644	Verleiding	803.N.003.C Feesttaart	Salmo trutta	Toren		TOREN, 20 L	FALSE									Salmo trutta		TOREN, 20 L	FALSE																							
L.2111704	Verleiding	803.S.008.C Zonder seks	Rubus spec.	Draadbaan		06.12.1	TRUE									Rubus spec.		06.12.1	TRUE																							
L.2111706	Dood	808.P.002	tba	Vondellaan	Vondellaan ?		FALSE																				tba	Vondellaan ?		FALSE												
L.2111707	Dood	808.P.002	tba	Vondellaan	Vondellaan		FALSE																				tba	Vondellaan		FALSE												
L.2111708	Dood		tba	Draadbaan	Draadbaan	03.06.3	TRUE																				tba	Draadbaan	03.06.3	TRUE												
L.2111709	Verleiding	803.N.002.C Nieuw leven	Phaseolus coccineus	Draadbaan		05.03.1	TRUE									Phaseolus coccineus		05.03.1	TRUE																							
RMNH.PISC.5067	Verleiding	803.N.003.C Feesttaart	Mola mola	Toren		TOREN	FALSE									Mola mola		TOREN	FALSE																							
L.2111714	Verleiding	803.N.010.C9 Open stukken	tba	Draadbaan		0512.1	FALSE									tba		0512.1	FALSE																							
RMNH.RENA.10081	Verleiding	803.N.003.C Feesttaart	Alytes obstetricans	Toren		TOREN	FALSE									Alytes obstetricans		TOREN	FALSE																							
RMNH.RENA.27869	Verleiding	803.N.003.C Feesttaart	Crocodylus cataphractus Cuvier, 1825	Toren		TOREN	FALSE									Crocodylus cataphractus Cuvier, 1825		TOREN	FALSE																							
RMNH.RENA.27870	Verleiding	803.N.003.C Feesttaart	Crocodylus cataphractus Cuvier, 1825	Toren		TOREN	FALSE									Crocodylus cataphractus Cuvier, 1825		TOREN	FALSE																							
RMNH.RENA.38913	Verleiding	803.N.003.C Feesttaart	Boa constrictor	Toren		TOREN	FALSE									Boa constrictor		TOREN	FALSE																							
L.2111719	Verleiding	803.N.010.C8 Letterbak 8	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
L.2111721	Verleiding	803.N.010.C7 Letterbak 7	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
L.2111722	Verleiding	803.N.010.C8 Letterbak 8	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
L.2111724	Verleiding	803.N.010.C8 Letterbak 8	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
L.2111726	Verleiding	803.N.010.C8 Letterbak 8	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
L.2111727	Verleiding	803.N.010.C7 Letterbak 7	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
L.2111728	Verleiding	803.N.010.C7 Letterbak 7	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
L.2111729	Verleiding	803.N.010.C9 Open stukken	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
RMNH.RENA.48711	Verleiding	803.N.003.C Feesttaart	Pelophylax spec.	Biopartner		BIOPARTNER	FALSE									Pelophylax spec.		BIOPARTNER	FALSE																							
L.2111731	Verleiding	803.N.010.C7 Letterbak 7	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
RMNH.RENA.48712	Verleiding	803.N.003.C Feesttaart	Pelophylax spec.	Biopartner		BIOPARTNER	FALSE									Pelophylax spec.		BIOPARTNER	FALSE																							
L.2111734	Verleiding	803.N.010.C7 Letterbak 7	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
L.2111735	Verleiding	803.N.010.C5 Letterbak 5	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
RMNH.RENA.48743	Verleiding	803.N.003.C Feesttaart	Gekko gecko	Toren		TOREN	FALSE									Gekko gecko		TOREN	FALSE																							
L.2111737	Verleiding	803.N.010.C7 Letterbak 7	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
L.2111739	Verleiding	803.N.010.C5 Letterbak 5	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
L.2111740	Verleiding	803.N.010.C5 Letterbak 5	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
L.2111741	Verleiding	803.N.010.C7 Letterbak 7	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
L.2111742	Verleiding	803.N.010.C7 Letterbak 7	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
L.2111743	Verleiding	803.N.010.C5 Letterbak 5	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
L.2111745	Verleiding	803.N.010.C7 Letterbak 7	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
L.2111746	Verleiding	803.N.010.C7 Letterbak 7	tba	Draadbaan		05.11.1	FALSE									tba		05.11.1	FALSE																							
