"REGISTRATIONNUMBER","INST_COLL_SUBCOLL","TRANSFERREASON","PRESERVEDPART","ICOONURL","URL","FULLSCIENTIFICNAME","GENUS","EPITHET"
"RMNH.AVES.156734","AVES","","skin","","","Belonopterus chilensis cayennensis (Gmelin, J.F., 1789)","Belonopterus","chilensis"
"RMNH.AVES.158258","AVES","","skin","http://medialib.naturalis.nl/file/id/RMNH.AVES.158258_2_BEWERKT/format/small","http://medialib.naturalis.nl/file/id/RMNH.AVES.158258_2_BEWERKT/format/large","Anas platyrhynchos platyrhynchos Linnaeus, 1758","Anas","platyrhynchos"
"RMNH.AVES.158258","AVES","","skin","http://medialib.naturalis.nl/file/id/RMNH.AVES.158258_3/format/small","http://medialib.naturalis.nl/file/id/RMNH.AVES.158258_3/format/large","Anas platyrhynchos platyrhynchos Linnaeus, 1758","Anas","platyrhynchos"
"RMNH.AVES.158258","AVES","","skin","http://medialib.naturalis.nl/file/id/RMNH.AVES.158258_1/format/small","http://medialib.naturalis.nl/file/id/RMNH.AVES.158258_1/format/large","Anas platyrhynchos platyrhynchos Linnaeus, 1758","Anas","platyrhynchos"
"RMNH.5069722","Aves","","skeleton (whole)","","","","Tockus","erythrorhynchus"
"RMNH.5069737","Aves","","skeleton (whole)","","","","Platylophus","galericulatus"
"RMNH.5069742","Aves","","skeleton (whole)","http://medialib.naturalis.nl/file/id/RMNH.5069742_4/format/small","http://medialib.naturalis.nl/file/id/RMNH.5069742_4/format/large","","Pica","pica"
"RMNH.AVES.103642","Aves","reserved for IkWilJe","skin","http://medialib.naturalis.nl/file/id/RMNH.AVES.103642_3/format/small","http://medialib.naturalis.nl/file/id/RMNH.AVES.103642_3/format/large","Casuarius sp.","Casuarius","sp."
"RMNH.AVES.103642","Aves","reserved for IkWilJe","skin","http://medialib.naturalis.nl/file/id/RMNH.AVES.103642_4/format/small","http://medialib.naturalis.nl/file/id/RMNH.AVES.103642_4/format/large","Casuarius sp.","Casuarius","sp."
"RMNH.AVES.103642","Aves","reserved for IkWilJe","skin","http://medialib.naturalis.nl/file/id/RMNH.AVES.103642_1/format/small","http://medialib.naturalis.nl/file/id/RMNH.AVES.103642_1/format/large","Casuarius sp.","Casuarius","sp."
"RMNH.AVES.103642","Aves","reserved for IkWilJe","skin","http://medialib.naturalis.nl/file/id/RMNH.AVES.103642_5/format/small","http://medialib.naturalis.nl/file/id/RMNH.AVES.103642_5/format/large","Casuarius sp.","Casuarius","sp."
"RMNH.AVES.103642","Aves","reserved for IkWilJe","skin","http://medialib.naturalis.nl/file/id/RMNH.AVES.103642_2/format/small","http://medialib.naturalis.nl/file/id/RMNH.AVES.103642_2/format/large","Casuarius sp.","Casuarius","sp."
