"REGISTRATIONNUMBER","INST_COLL_SUBCOLL","TRANSFERREASON","PRESERVEDPART","ICOONURL","URL","FULLSCIENTIFICNAME","GENUS","EPITHET"
"RGM.1352144","Cainozoic Mollusca","reserved for LiveScience","shell","","","","Clausinella","scalaris"
"RGM.1352145","Cainozoic Mollusca","reserved for LiveScience","shell","","","","Panopea","menardii"
"RGM.1352146","Cainozoic Mollusca","reserved for LiveScience","shell","","","","Peronaea","benedeni"
"RGM.1352147","Cainozoic Mollusca","reserved for LiveScience","shell","","","","Scapharca","diluvii"
"RGM.1352148","Cainozoic Mollusca","reserved for LiveScience","shell","","","","Mitra","grateloupi"
"RGM.1352149","Cainozoic Mollusca","reserved for LiveScience","shell","","","","Ficus","condita"
"RGM.1352150","Cainozoic Mollusca","reserved for LiveScience","shell","","","","Bolinus","beyrichi"
"RGM.1352163","Cainozoic Mollusca","reserved for LiveScience","shell","","","","",""
"RGM.1352164","Cainozoic Mollusca","reserved for LiveScience","shell","","","","",""
"RGM.1352165","Cainozoic Mollusca","reserved for LiveScience","shell","","","","",""
"RGM.1352166","Cainozoic Mollusca","reserved for LiveScience","shell","","","","",""
"RGM.1352167","Cainozoic Mollusca","reserved for LiveScience","shell","","","","",""
"RGM.1352168","Cainozoic Mollusca","reserved for LiveScience","shell","","","","",""
"RGM.184731","Cainozoic Mollusca","reserved for LiveScience","shell","","","","Architectonica","carocollata"
"RGM.225129","Cainozoic Mollusca","reserved for LiveScience","shell","","","","Contortia","contorta"
"RGM.225158","Cainozoic Mollusca","reserved for LiveScience","shell","","","","Trigonostoma","apertum"
"RGM.225173","Cainozoic Mollusca","reserved for LiveScience","shell","","","","Ventrilia","geslini"
"RGM.225871","Cainozoic Mollusca","reserved for LiveScience","shell","","","","Thylacodes","arenarius"
"RGM.225902","Cainozoic Mollusca","reserved for LiveScience","shell","","","","Cirsotrema","crassicostatum"
"RGM.226046","Cainozoic Mollusca","reserved for LiveScience","shell","","","Cochlespira corneti (Von Koenen, 1872)","Cochlespira","corneti"
"RGM.226139","Cainozoic Mollusca","reserved for LiveScience","shell","","","","Conus","antidiluvianus"
"RGM.393667","Cainozoic Mollusca","reserved for LiveScience","shell","","","","Cordiopsis","polytropa"
"RGM.393669","Cainozoic Mollusca","reserved for LiveScience","shell","","","","Chicoreus","aquitanicus"
"RMNH.ARA.18227","Chelicerata and Myriapoda","reserved for IkWilJe","WholeOrganism","","","Amaurobius similis (Blackwall, 1861)","Amaurobius","similis"
"RMNH.ARA.2305","Chelicerata and Myriapoda","reserved for IkWilJe","WholeOrganism","","","Latrodectus mactans (Fabricius, 1775)","Latrodectus","mactans"
"RMNH.ECH.125","Echinodermata","","WholeOrganism","","","Gracilechinus acutus (Lamarck, 1816)","Gracilechinus","acutus"
"RMNH.ECH.128","Echinodermata","","WholeOrganism","","","Gracilechinus acutus (Lamarck, 1816)","Gracilechinus","acutus"
"RMNH.ECH.4676","Echinodermata","","WholeOrganism","","","Gracilechinus acutus (Lamarck, 1816)","Gracilechinus","acutus"
"ZMA.ECH.E.4954","Echinodermata","","WholeOrganism","","","Echinometra lucunter ()","Echinometra","lucunter"
"ZMA.ECH.E.7926","Echinodermata","","WholeOrganism","","","Echinus acutus Lamarck, 1816","Echinus","acutus"
"BE.2312339","Lepidoptera","","Not applicable","","","","",""
"ZMA.INS.964438","Lepidoptera","","WholeOrganism","","","Malacosoma castrensis (Linneaus, 1758)","Malacosoma","castrensis"
"RGM.102600","Macro Vertebrates","","molar","","","Coelodonta antiquitatis Blumenbach, 1799","Coelodonta","antiquitatis"
"RGM.102633","Macro Vertebrates","","calcaneum","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.102642","Macro Vertebrates","","molar","","","Coelodonta antiquitatis Blumenbach, 1799","Coelodonta","antiquitatis"
"RGM.102960","Macro Vertebrates","","humerus","","","Megaceros giganteus Blumenbach, 1799","Megaceros","giganteus"
"RGM.103011","Macro Vertebrates","","mandibula","","","Crocuta crocuta spelaea (Goldfuss, 1823)","Crocuta","crocuta"
