	Totaal									LiveScience					Ontmoeting					Verleiding					Aarde					Schatkamer 1.0				Schatkamer 2.0				Dood					Dino's					Mens					IJstijd				
Registratienummer	Zaal	Zaaldeel	SCname	NLname	Locatie 	HS	HSspecific	Montage techniek	Foto	LiveScience SCname	Nlname	LiveScienceHS	LiveScienceHSspecific	Foto	Ontmoeting SCname	Nlname	OntmoetingHS	OntmoetingHSspecific	Foto	Verleiding SCname	Nlname	VerleidingHS	VerleidingHSspecific	Foto	Aarde SCname	Nlname	AardeHS	AardeHSspecific	Foto	Schatkamer 1.0 SCname	Nlname	Schatkamer HS	Foto	Schatkamer 2.0 SCname	Nlname	Schatkamer HS	Foto	Dood SCname	Nlname	DoodHS	DoodHSspecific	Foto	Dino's SCname	Nlname	Dino'sHS	Dino'sHSspecific	Foto	Mens SCname	Nlname	MensHS	MensHSspecific	Foto	IJstijd SCname	Nlname	IJstijdHS	IJstijdHSspecific	Foto
3114	LiveScience	tba	tba	Jongmans plantfossielen: Neuropteris schwarzei	Toren	Toren	14R		FALSE	tba	Jongmans plantfossielen: Neuropteris schwarzei	Toren	14R	FALSE																																											
12296	LiveScience	tba	tba	Jongmans plantfossielen: Lepidodendron sp	Toren	Toren	14R		FALSE	tba	Jongmans plantfossielen: Lepidodendron sp	Toren	14R	FALSE																																											
61591	LiveScience	tba	tba	Jongmans plantfossielen: Cordaties principalis	Toren	Toren	14R		FALSE	tba	Jongmans plantfossielen: Cordaties principalis	Toren	14R	FALSE																																											
64597	LiveScience	tba	tba	Jongmans plantfossielen: Calamites sp	Toren	Toren	14R		FALSE	tba	Jongmans plantfossielen: Calamites sp	Toren	14R	FALSE																																											
AL 288-1	Mens	tba	Afgietsel skelet Lucy (Australopithecus afarensis) AL 288-1	Lucy	Extern				Not filled in																																							Afgietsel skelet Lucy (Australopithecus afarensis) AL 288-1	Lucy								
Ave.ei.1031	Verleiding	803.N.007.C1 Etagere 1	Anas platyrhynchos	Wilde eend ei	Draadbaan		05.01.2		TRUE											Anas platyrhynchos	Wilde eend ei		05.01.2	TRUE																																	
Ave.ei.105	Verleiding	803.N.007.C2 Etagere 2	Hippolais icterina	Spotvogel ei	Draadbaan		05.01.2		TRUE											Hippolais icterina	Spotvogel ei		05.01.2	TRUE																																	
Ave.ei.1050	Verleiding	803.N.007.C2 Etagere 2	Accipiter nisus	Sperwer ei	Draadbaan		05.01.2		TRUE											Accipiter nisus	Sperwer ei		05.01.2	TRUE																																	
Ave.ei.1084	Verleiding	803.N.007.C2 Etagere 2	Lullula arborea	Boomleeuwerik ei	Draadbaan		05.01.2		TRUE											Lullula arborea	Boomleeuwerik ei		05.01.2	TRUE																																	
Ave.ei.1095	Verleiding	803.N.007.C2 Etagere 2	Acrocephalus arundinaceus	Grote karekiet ei	Draadbaan		05.01.2		TRUE											Acrocephalus arundinaceus	Grote karekiet ei		05.01.2	TRUE																																	
Ave.ei.112	Verleiding	803.N.007.C2 Etagere 2	Phoenicurus phoenicurus	Gekraagde roodstaart ei	Draadbaan		05.01.2		TRUE											Phoenicurus phoenicurus	Gekraagde roodstaart ei		05.01.2	TRUE																																	
Ave.ei.116	Verleiding	803.N.007.C2 Etagere 2	Motacilla alba	Witte kwikstaart ei	Draadbaan		05.01.2		TRUE											Motacilla alba	Witte kwikstaart ei		05.01.2	TRUE																																	
Ave.ei.117	Verleiding	803.N.007.C1 Etagere 1	Anthus pratensis	Graspieper ei	Draadbaan		05.01.2		TRUE											Anthus pratensis	Graspieper ei		05.01.2	TRUE																																	
Ave.ei.122g	Verleiding	803.N.007.C1 Etagere 1	Vanellus vanellus	Kievit ei	Draadbaan		05.01.2		TRUE											Vanellus vanellus	Kievit ei		05.01.2	TRUE																																	
Ave.ei.123	Verleiding	803.N.007.C1 Etagere 1	Oriolus oriolus	Wielewaal ei	Draadbaan		05.01.2		TRUE											Oriolus oriolus	Wielewaal ei		05.01.2	TRUE																																	
Ave.ei.131	Verleiding	803.N.007.C1 Etagere 1	Podiceps cristatus	Fuut	Draadbaan		05.01.2		TRUE											Podiceps cristatus	Fuut		05.01.2	TRUE																																	
Ave.ei.132	Verleiding	803.N.007.C1 Etagere 1	Accipiter nisus	Sperwer ei	Draadbaan		05.01.2		TRUE											Accipiter nisus	Sperwer ei		05.01.2	TRUE																																	
Ave.ei.1330	Verleiding	803.N.007.C1 Etagere 1	Corvus monedula	Kauw ei	Draadbaan		05.01.2		TRUE											Corvus monedula	Kauw ei		05.01.2	TRUE																																	
Ave.ei.1384	Verleiding	803.N.007.C2 Etagere 2	Carduelis carduelis	Putter ei	Draadbaan		05.01.2		TRUE											Carduelis carduelis	Putter ei		05.01.2	TRUE																																	
Ave.ei.1385	Verleiding	803.N.007.C2 Etagere 2	Luscinia megarhynchos	Nagtegaal ei	Draadbaan		05.01.2		TRUE											Luscinia megarhynchos	Nagtegaal ei		05.01.2	TRUE																																	
Ave.ei.1390	Verleiding	803.N.007.C2 Etagere 2	Anser anser	Grauwe gans ei	Draadbaan		05.01.2		TRUE											Anser anser	Grauwe gans ei		05.01.2	TRUE																																	
Ave.ei.1449	Verleiding	803.N.007.C1 Etagere 1	Falco tinnunculus	Torenvalk ei	Draadbaan		05.01.2		TRUE											Falco tinnunculus	Torenvalk ei		05.01.2	TRUE																																	
Ave.ei.1461	Verleiding	803.N.007.C2 Etagere 2	Streptopelia turtur	Tortelduif ei	Draadbaan		05.01.2		TRUE											Streptopelia turtur	Tortelduif ei		05.01.2	TRUE																																	
Ave.ei.1494	Verleiding	803.N.007.C2 Etagere 2	Ciconia ciconia	Ooievaar ei	Draadbaan		05.01.2		TRUE											Ciconia ciconia	Ooievaar ei		05.01.2	TRUE																																	
Ave.ei.1514	Verleiding	803.N.007.C2 Etagere 2	Certhia brachydactyla	Boomkruiper ei	Draadbaan		05.01.2		TRUE											Certhia brachydactyla	Boomkruiper ei		05.01.2	TRUE																																	
Ave.ei.1546	Verleiding	803.N.007.C1 Etagere 1	Phalacrocorax carbo	Aalscholver ei	Draadbaan		05.01.2		TRUE											Phalacrocorax carbo	Aalscholver ei		05.01.2	TRUE																																	
Ave.ei.1561	Verleiding	803.N.007.C1 Etagere 1	Phasianus colchicus	Fazant ei	Draadbaan		05.01.2		TRUE											Phasianus colchicus	Fazant ei		05.01.2	TRUE																																	
