Ave.ei.1631	Verleiding	803.N.007.C1 Etagere 1	Hirundo rustica	Boerenzwaluw ei	Draadbaan		05.01.2		TRUE											Hirundo rustica	Boerenzwaluw ei		05.01.2	TRUE																																	
Ave.ei.1680	Verleiding	803.N.007.C2 Etagere 2	Uria aalge	Zeekoet ei	Draadbaan		05.01.2		TRUE											Uria aalge	Zeekoet ei		05.01.2	TRUE																																	
Ave.ei.1681	Verleiding	803.N.007.C2 Etagere 2	Ardea cinerea	Blauwe reiger ei	Draadbaan		05.01.2		TRUE											Ardea cinerea	Blauwe reiger ei		05.01.2	TRUE																																	
Ave.ei.1687	Verleiding	803.N.007.C1 Etagere 1	Gavia stellata	Roodkeelduiker ei	Draadbaan		05.01.2		TRUE											Gavia stellata	Roodkeelduiker ei		05.01.2	TRUE																																	
Ave.ei.1694	Verleiding	803.N.007.C2 Etagere 2	Larus marinus	Grote mantelmeeuw ei	Draadbaan		05.01.2		TRUE											Larus marinus	Grote mantelmeeuw ei		05.01.2	TRUE																																	
Ave.ei.1721	Verleiding	803.N.007.C2 Etagere 2	Coturnix coturnix	Kwartel ei 	Draadbaan		05.01.2		TRUE											Coturnix coturnix	Kwartel ei 		05.01.2	TRUE																																	
Ave.ei.18	Verleiding	803.N.007.C1 Etagere 1	Cygnus olor	Knobbelzwaan ei (groot, wit, ovaal)	Draadbaan		05.01.2		TRUE											Cygnus olor	Knobbelzwaan ei (groot, wit, ovaal)		05.01.2	TRUE																																	
Ave.ei.180	Verleiding	803.N.007.C2 Etagere 2	Sturnus vulgaris	Spreeuw ei	Draadbaan		05.01.2		TRUE											Sturnus vulgaris	Spreeuw ei		05.01.2	TRUE																																	
Ave.ei.208a	Verleiding	803.N.007.C1 Etagere 1	Alcedo atthis	IJsvogel ei	Draadbaan		05.01.2		TRUE											Alcedo atthis	IJsvogel ei		05.01.2	TRUE																																	
Ave.ei.217i	Verleiding	803.N.007.C1 Etagere 1	Hirundo rustica	Boerenzwaluw ei	Draadbaan		05.01.2		TRUE											Hirundo rustica	Boerenzwaluw ei		05.01.2	TRUE																																	
Ave.ei.25	Verleiding	803.N.007.C2 Etagere 2	Prunella modularis	Heggenmus ei	Draadbaan		05.01.2		TRUE											Prunella modularis	Heggenmus ei		05.01.2	TRUE																																	
Ave.ei.259	Verleiding	803.N.007.C1 Etagere 1	Delichon urbica	Huiszwaluw ei	Draadbaan		05.01.2		TRUE											Delichon urbica	Huiszwaluw ei		05.01.2	TRUE																																	
Ave.ei.265b	Verleiding	803.N.007.C2 Etagere 2	Muscicapa striata	Grauwe vliegenvanger ei	Draadbaan		05.01.2		TRUE											Muscicapa striata	Grauwe vliegenvanger ei		05.01.2	TRUE																																	
Ave.ei.404	Verleiding	803.N.007.C2 Etagere 2	Parus major	Koolmees ei	Draadbaan		05.01.2		TRUE											Parus major	Koolmees ei		05.01.2	TRUE																																	
Ave.ei.74	Verleiding	803.N.007.C2 Etagere 2	Turdus merula	Merel ei	Draadbaan		05.01.2		TRUE											Turdus merula	Merel ei		05.01.2	TRUE																																	
Ave.ei.800	Verleiding	803.N.007.C1 Etagere 1	Turdus philomelos	Zanglijster ei	Draadbaan		05.01.2		TRUE											Turdus philomelos	Zanglijster ei		05.01.2	TRUE																																	
Ave.ei.97	Verleiding	803.N.007.C1 Etagere 1	Numenius arquata	Wulp ei	Draadbaan		05.01.2		TRUE											Numenius arquata	Wulp ei		05.01.2	TRUE																																	
Ave.ei.98b	Verleiding	803.N.007.C2 Etagere 2	Coturnix coturnix	Kwartel ei	Draadbaan		05.01.2		TRUE											Coturnix coturnix	Kwartel ei		05.01.2	TRUE																																	
BE.2281777	Verleiding	803.S.003.C4 Millimeterwerk	D. pachea, D. melanogaster, D. bifurca	Lade vol met verschillende soorten fruitvliegenProductie	Vondellaan		Vondellaan		FALSE											D. pachea, D. melanogaster, D. bifurca	Lade vol met verschillende soorten fruitvliegenProductie		Vondellaan	FALSE																																	
BE.2312339	Dood	808.P.013	Anthrenus verbasci	Half vergaan preparaat: Verval door museumkevers	Museum	Vondellaan	Rob	los plaatsen	FALSE																													Anthrenus verbasci	Half vergaan preparaat: Verval door museumkevers	Vondellaan	Rob	FALSE															
BE.2312536	Verleiding	803.S.002.C7 Verschillend	stigmella	dwergmineermot	Onbekend				FALSE											stigmella	dwergmineermot			FALSE																																	
BE.2312537	Verleiding	803.S.003.C8 Verschillend	Stigmella ruficapitella en Ectoedemia albifasciella	lades met  variabele eikenmineermot en gewone eikenblaasmijnmot	Onbekend				FALSE											Stigmella ruficapitella en Ectoedemia albifasciella	lades met  variabele eikenmineermot en gewone eikenblaasmijnmot			FALSE																																	
JMS.61589	LiveScience	tba	tba	Jongmans plantfossielen: Lepidoderdron ophiurus	Toren	Toren	14R		FALSE	tba	Jongmans plantfossielen: Lepidoderdron ophiurus	Toren	14R	FALSE																																											
JMS.61608	LiveScience	tba	tba	Jongmans plantfossielen: Calamites sp	Toren	Toren	14R		FALSE	tba	Jongmans plantfossielen: Calamites sp	Toren	14R	FALSE																																											
L.0204027	LiveScience	tba	tba	een grote alcoholpot met de Penisplant (Araceae)	Toren	Toren	17L		FALSE	tba	een grote alcoholpot met de Penisplant (Araceae)	Toren	17L	FALSE																																											
L.111703	Verleiding	803.N.005.C3 Niemand!	Vanilla planifolia	Orchidee	Onbekend				FALSE											Vanilla planifolia	Orchidee			FALSE																																	
L.2055351	Verleiding	803.N.010.C9 Open stukken	Lodoicea maldivica	billenvrucht Coco de Mer	Draadbaan		05.08.1		TRUE											Lodoicea maldivica	billenvrucht Coco de Mer		05.08.1	TRUE																																	
L.2078703	Verleiding	803.V.001.C Etalage Geur	Lilium martagon	Turkse lelie	Draadbaan		06.04.2		TRUE											Lilium martagon	Turkse lelie		06.04.2	TRUE																																	
L.2078705	Verleiding	803.S.003.C2 Bizar	Calluna vulgaris	Struikhei	Draadbaan		05.12.1		FALSE											Calluna vulgaris	Struikhei		05.12.1	FALSE																																	
L.2078710	Verleiding	803.V.002.C Etalage Opvallen	Digitalis purpurea	Vingerhoedskruid	Draadbaan		06.05.2		TRUE											Digitalis purpurea	Vingerhoedskruid		06.05.2	TRUE																																	
L.2078713	Verleiding	803.V.001.C Etalage Geur	Pisum sativum	Erwt	Draadbaan		06.04.2		TRUE											Pisum sativum	Erwt		06.04.2	TRUE																																	
L.2078714	LiveScience	tba	Saxifraga granulata	Saxifraga granulata	Draadbaan	Draadbaan	Vide, in stellingskasten		FALSE	Saxifraga granulata	Saxifraga granulata	Draadbaan	Vide, in stellingskasten	FALSE																																											
L.2078718	Verleiding	803.V.002.C Etalage Opvallen	Hyoscyamus niger	Bilzekruid	Draadbaan		06.05.2		FALSE											Hyoscyamus niger	Bilzekruid		06.05.2	FALSE																																	
L.2078726	Verleiding	803.N.003.C Feesttaart	Oenothera biennis	Teunisbloem kiem	Draadbaan		05.03.2		FALSE											Oenothera biennis	Teunisbloem kiem		05.03.2	FALSE																																	
L.2078727	Verleiding	803.N.003.C Feesttaart	Phaseolus coccineus	ontkiemend plantje (pronkboon)	Draadbaan		05.02.2		FALSE											Phaseolus coccineus	ontkiemend plantje (pronkboon)		05.02.2	FALSE																																	
L.2078729	Verleiding	803.S.003.C2 Bizar	Berberis vulgaris	Zuurbes	Draadbaan		05.12.1		FALSE											Berberis vulgaris	Zuurbes		05.12.1	FALSE																																	
L.2078734	LiveScience	tba	Juglans regina	Juglans regina	Draadbaan	Draadbaan	Vide, in stellingskasten		FALSE	Juglans regina	Juglans regina	Draadbaan	Vide, in stellingskasten	FALSE																																											
L.2078735	Verleiding	803.S.003.C6 Geniale genitalien	Pteris serrulata 	Spinnekopvaren	Draadbaan		05.13.3		FALSE											Pteris serrulata 	Spinnekopvaren		05.13.3	FALSE																																	
L.2078736	LiveScience	tba	Quercus ruber	Quercus ruber	Draadbaan	Draadbaan	Vide, in stellingskasten		FALSE	Quercus ruber	Quercus ruber	Draadbaan	Vide, in stellingskasten	FALSE																																											
L.2078739	Verleiding	803.S.003.C1 Gereedschap	Primula officinalis	Sleutelbloem	Draadbaan		05.12.2		FALSE											Primula officinalis	Sleutelbloem		05.12.2	FALSE																																	
L.2078763	LiveScience	tba	Ricinus communis	Ricinus communis	Draadbaan	Draadbaan	Vide, in stellingskasten		FALSE	Ricinus communis	Ricinus communis	Draadbaan	Vide, in stellingskasten	FALSE																																											
L.2078765	Verleiding	803.N.003.C Feesttaart	Pinus sylvestris	Grove den	Draadbaan		05.02.2		FALSE											Pinus sylvestris	Grove den		05.02.2	FALSE																																	
L.2078766	LiveScience	tba	Juniperus communis	Juniperus communis	Draadbaan	Draadbaan	Vide, in stellingskasten		FALSE	Juniperus communis	Juniperus communis	Draadbaan	Vide, in stellingskasten	FALSE																																											
L.2078767	LiveScience	tba	Alnus glutunosa	Alnus glutunosa	Draadbaan	Draadbaan	Vide, in stellingskasten		FALSE	Alnus glutunosa	Alnus glutunosa	Draadbaan	Vide, in stellingskasten	FALSE																																											
L.2078771	Verleiding	803.S.004.C Man én vrouw	Corylus avellana	hazelaar	Draadbaan		06.14.1		FALSE											Corylus avellana	hazelaar		06.14.1	FALSE																																	
L.2078785	LiveScience	tba	Secala cereal	Secala cereal	Draadbaan	Draadbaan	Vide, in stellingskasten		FALSE	Secala cereal	Secala cereal	Draadbaan	Vide, in stellingskasten	FALSE																																											
L.2078809	Verleiding	803.V.002.C Etalage Opvallen	Digitalis purpurea	Vingerhoedskruid	Draadbaan		06.05.2		TRUE											Digitalis purpurea	Vingerhoedskruid		06.05.2	TRUE																																	
L.2110007	LiveScience	tba	Daphne mezerium	Daphne mezerium	Draadbaan	Draadbaan	Vide, in stellingskasten		FALSE	Daphne mezerium	Daphne mezerium	Draadbaan	Vide, in stellingskasten	FALSE																																											
L.2110008	Verleiding	803.S.002.C1 Gereedschap	Aesculus hippocastanum	Witte paardenkastanje	Draadbaan		05.14.3		FALSE											Aesculus hippocastanum	Witte paardenkastanje		05.14.3	FALSE																																	
L.2110130	Verleiding	803.V.002.C Etalage Opvallen	Orchis militaris	Soldaatje	Draadbaan		06.05.2		TRUE											Orchis militaris	Soldaatje		06.05.2	TRUE																																	
L.2110563	Verleiding	803.S.002.C1 Gereedschap	Pisum sativum	Erwt	Draadbaan		05.14.3		FALSE											Pisum sativum	Erwt		05.14.3	FALSE																																	
L.2110564	Verleiding	803.V.002.C Etalage Opvallen	Pisum sativum	Erwt	Draadbaan		06.05.3		FALSE											Pisum sativum	Erwt		06.05.3	FALSE																																	
L.2110565	Verleiding	803.S.003.C1 Gereedschap	Scrophularia nodosa	Knopig helmkruid	Draadbaan		05.12.2		FALSE											Scrophularia nodosa	Knopig helmkruid		05.12.2	FALSE																																	
L.2110566	Verleiding	803.V.002.C Etalage Opvallen	Viola tricolor	Viooltje	Draadbaan		06.05.1		FALSE											Viola tricolor	Viooltje		06.05.1	FALSE																																	
L.2110811	Verleiding	803.N.010.C4 Letterbak 4	Phenakospermum guyannense (A.Rich.) Endl. ex Miq.	Strelitziaceae	Draadbaan		5.12.1		n.v.t.											Phenakospermum guyannense (A.Rich.) Endl. ex Miq.	Strelitziaceae		5.12.1	n.v.t.																																	
L.2110813	Verleiding	803.N.010.C4 Letterbak 4	Terminalia catappa L. 	Combretaceae	Draadbaan		5.12.1		n.v.t.											Terminalia catappa L. 	Combretaceae		5.12.1	n.v.t.																																	
L.2110814	Verleiding	803.N.010.C8 Letterbak 8	Rhizophora spec.	Rhizophoraceae	Draadbaan		5.12.1		n.v.t.											Rhizophora spec.	Rhizophoraceae		5.12.1	n.v.t.																																	
L.2110815	Verleiding	803.N.010.C4 Letterbak 4	Attalea spec.	Arecaceae	Draadbaan		5.12.1		n.v.t.											Attalea spec.	Arecaceae		5.12.1	n.v.t.																																	
L.2110816	Verleiding	803.N.010.C8 Letterbak 8	Hevea spec.	Braziliaanse rubberboom	Draadbaan		5.12.1		n.v.t.											Hevea spec.	Braziliaanse rubberboom		5.12.1	n.v.t.																																	
L.2110817	Verleiding	803.N.010.C8 Letterbak 8	Entada spec.	Leguminosae	Draadbaan		5.12.1		n.v.t.											Entada spec.	Leguminosae		5.12.1	n.v.t.																																	
L.2110818	Verleiding	803.N.010.C8 Letterbak 8	Euphorbia	Wolfsmelk / Spurge	Draadbaan		05.12.1		n.v.t.											Euphorbia	Wolfsmelk / Spurge		05.12.1	n.v.t.																																	
L.2111648	Dood		tba	Zwavelzwam	Museum	Draadbaan	03.06.3	lijmen met siliconenlijm	FALSE																													tba	Zwavelzwam	Draadbaan	03.06.3	FALSE															
L.2111649	Dood	808.C.03.A	Exidia thuretiana	Stijfselzwam	Museum	Draadbaan	03.06.3	lijmen met siliconenlijm	TRUE																													Exidia thuretiana	Stijfselzwam	Draadbaan	03.06.3	TRUE															
L.2111650	Dood	808.C.03.A	Polyporus varius	Waaierbuisjeszwam	Museum	Draadbaan	03.06.3	lijmen met siliconenlijm	TRUE																													Polyporus varius	Waaierbuisjeszwam	Draadbaan	03.06.3	TRUE															
L.2111651	Dood	808.C.03.A	Armillaria mellea	Echte honingzwam	Museum	Draadbaan	03.06.3	lijmen met siliconenlijm	TRUE																													Armillaria mellea	Echte honingzwam	Draadbaan	03.06.3	TRUE															
L.2111652	Dood	808.C.03.A	Trametes versicolor	Gewoon elfenbankje	Museum	Draadbaan	03.06.3	lijmen met siliconenlijm	TRUE																													Trametes versicolor	Gewoon elfenbankje	Draadbaan	03.06.3	TRUE															
L.2111653	Dood	808.C.03.A	Pholiota squarrosa	Schubbige bundelzwam	Museum	Draadbaan	03.06.3	lijmen met siliconenlijm	TRUE																													Pholiota squarrosa	Schubbige bundelzwam	Draadbaan	03.06.3	TRUE															
L.2111654	Dood	808.C.03.A	Schizopora paradoxa	Witte tandzwam	Museum	Draadbaan	03.06.3	lijmen met siliconenlijm	TRUE																													Schizopora paradoxa	Witte tandzwam	Draadbaan	03.06.3	TRUE															
L.2111655	Dood	808.C.03.A	Hypoxylon fragiforme	Roestbruine kogelzwam	Museum	Draadbaan	03.06.3	lijmen met siliconenlijm	TRUE																													Hypoxylon fragiforme	Roestbruine kogelzwam	Draadbaan	03.06.3	TRUE															
L.2111656	Dood	808.C.03.A	Daldinia concentraca	Kogelhoutskoolzwam	Museum	Draadbaan	03.06.3	lijmen met siliconenlijm	TRUE																													Daldinia concentraca	Kogelhoutskoolzwam	Draadbaan	03.06.3	TRUE															
L.2111657	Dood	808.C.03.A	Polyporus brumalis	Winterhoutzwam	Museum	Draadbaan	03.06.3	lijmen met siliconenlijm	TRUE																													Polyporus brumalis	Winterhoutzwam	Draadbaan	03.06.3	TRUE															
L.2111658	Dood	808.C.03.A	Bjerkandera fumosa	Rookzwam	Museum	Draadbaan	03.06.3	lijmen met siliconenlijm	TRUE																													Bjerkandera fumosa	Rookzwam	Draadbaan	03.06.3	TRUE															
L.2111659	Dood	808.C.03.A	Xylaria polymorpha	Houtknotszwam 1	Museum	Draadbaan	03.06.3	lijmen met siliconenlijm	TRUE																													Xylaria polymorpha	Houtknotszwam 1	Draadbaan	03.06.3	TRUE															
L.2111660	Dood	808.C.03.A	Xylaria polymorpha	Houtknotszwam 2	Museum	Draadbaan	03.06.3	lijmen met siliconenlijm	TRUE																													Xylaria polymorpha	Houtknotszwam 2	Draadbaan	03.06.3	TRUE															
L.2111661	Dood	808.C.03.A	Xylaria hypoxylon	Geweizwam	Museum	Draadbaan	03.06.3	lijmen met siliconenlijm	TRUE																													Xylaria hypoxylon	Geweizwam	Draadbaan	03.06.3	TRUE															
L.2111662	Dood	808.C.03.A	Diatrype disciformes	Hoekig schorsschijfje	Museum	Draadbaan	03.06.3	lijmen met siliconenlijm	TRUE																													Diatrype disciformes	Hoekig schorsschijfje	Draadbaan	03.06.3	TRUE															
L.2111663	Verleiding	803.V.001.C Etalage Geur	Victoria amazonica	Reuzenwaterlelie	Draadbaan		06.04.2		TRUE											Victoria amazonica	Reuzenwaterlelie		06.04.2	TRUE																																	
L.2111666	Verleiding	803.S.002.C4 Geniale genitalien	Dryopteris affinis	Geschubde mannetjesvaren	Draadbaan		05.13.2		FALSE											Dryopteris affinis	Geschubde mannetjesvaren		05.13.2	FALSE																																	
L.2111667	Verleiding	803.S.003.C6 Geniale genitalien	tba	Mos (vrouwelijke gametophyt)	Draadbaan		05.13.3		FALSE											tba	Mos (vrouwelijke gametophyt)		05.13.3	FALSE																																	
L.2111669	Verleiding	803.V.001.C Etalage Geur	Rafflesia arnoldii 	Rafflesia	Extern		EXTERN		FALSE											Rafflesia arnoldii 	Rafflesia		EXTERN	FALSE																																	
L.2111670	Verleiding	803.V.001.C Etalage Geur	Lonicera periclymenum	(wilde) kamperfoelie	Draadbaan		06.04.2		FALSE											Lonicera periclymenum	(wilde) kamperfoelie		06.04.2	FALSE																																	
L.2111671	Verleiding	803.V.001.C Etalage Geur	Trifolium spec.	klaver	Draadbaan		06.04.2		FALSE											Trifolium spec.	klaver		06.04.2	FALSE																																	
L.2111672	Verleiding	803.V.001.C Etalage Geur	Magnolia spec.	Magnolia	Draadbaan		06.03.1		FALSE											Magnolia spec.	Magnolia		06.03.1	FALSE																																	
L.2111673	Verleiding	803.V.001.C Etalage Geur	Hedera helix	Klimop	Draadbaan		06.04.2		FALSE											Hedera helix	Klimop		06.04.2	FALSE																																	
L.2111674	Verleiding	803.V.001.C Etalage Geur	Phalaenopsis sp.	Orchidee	Draadbaan		06.04.2		FALSE											Phalaenopsis sp.	Orchidee		06.04.2	FALSE																																	
L.2111677	Verleiding	803.V.002.C Etalage Opvallen	Papaver rhoeas	Grote klaproos 	Draadbaan		06.04.3		FALSE											Papaver rhoeas	Grote klaproos 		06.04.3	FALSE																																	
L.2111679	Verleiding	803.V.001.C Etalage Geur	Calla spec.	calla	Draadbaan		06.04.2		FALSE											Calla spec.	calla		06.04.2	FALSE																																	
L.2111680	Dood	808.P.002	tba	Houten klompen	Museum	Lizette 		los plaatsen	FALSE																													tba	Houten klompen	Lizette 		FALSE															
L.2111681	Dood	808.P.003	tba	Dode plant (varen)O	Museum	Vondellaan		los plaatsen	FALSE																													tba	Dode plant (varen)O	Vondellaan		FALSE															
L.2111682	Verleiding	803.V.001.C Etalage Geur	Phallus impudicus	grote stinkzwam	Draadbaan		06.04.2		FALSE											Phallus impudicus	grote stinkzwam		06.04.2	FALSE																																	
L.2111684	Dood	808.P.005	Populus spec.	Jaarringen in stam populier	Museum	Draadbaan	BG	los plaatsen	FALSE																													Populus spec.	Jaarringen in stam populier	Draadbaan	BG	FALSE															
L.2111685	Dood	808.C.03.A	Fagus sylvatica	Stam dode beuk	Museum	Draadbaan		los plaatsen	FALSE																													Fagus sylvatica	Stam dode beuk	Draadbaan		FALSE															
L.2111686	Dood	808.C.03.A	Fagus sylvatica	Strooisel van beukennootjes en beukenblaadjes	Museum	Draadbaan	03.06.1	los plaatsen	FALSE																													Fagus sylvatica	Strooisel van beukennootjes en beukenblaadjes	Draadbaan	03.06.1	FALSE															
L.2111687	Verleiding	803.N.003.C Feesttaart	Cocos nucifera	kokosnoot kiem (grote noot)	Draadbaan	Draadbaan	05.03.2	lijmen met siliconenlijm	TRUE											Cocos nucifera	kokosnoot kiem (grote noot)		05.03.2	TRUE														Hypholoma fasciculare	Gewone zwavelkop	Draadbaan		FALSE															
L.2111689	Verleiding	803.V.002.C Etalage Opvallen	Gloriosa spec.	Prachtlelie	Draadbaan		06.05.1		TRUE											Gloriosa spec.	Prachtlelie		06.05.1	TRUE																																	
L.2111690	Verleiding	803.V.002.C Etalage Opvallen	Oncidium spec.	Tijgerorchidee	Draadbaan		06.05.1		FALSE											Oncidium spec.	Tijgerorchidee		06.05.1	FALSE																																	
L.2111691	Verleiding	803.V.002.C Etalage Opvallen	Lantana camara	Tropische Verbena met rode bloemen 	Draadbaan		06.06.1		FALSE											Lantana camara	Tropische Verbena met rode bloemen 		06.06.1	FALSE																																	
L.2111692	Verleiding	803.V.002.C Etalage Opvallen	Strelitzia spec.	Paradijsvogelbloem 	Draadbaan		06.04.3		TRUE											Strelitzia spec.	Paradijsvogelbloem 		06.04.3	TRUE																																	
L.2111693	Verleiding	803.V.002.C Etalage Opvallen	Paphiopedilum rothschildianum	Orchidee 	Draadbaan		06.06.1		FALSE											Paphiopedilum rothschildianum	Orchidee 		06.06.1	FALSE																																	
L.2111694	Verleiding	803.V.004.C Etalage Cadeaus	Carnegiea gigantea	Saguarocactusbloem	Draadbaan		06.07.3		TRUE											Carnegiea gigantea	Saguarocactusbloem		06.07.3	TRUE																																	
L.2111695	Verleiding	803.S.002.C1 Gereedschap	Rosa canina	Model bloem hondsroos	Draadbaan		05.14.3		TRUE											Rosa canina	Model bloem hondsroos		05.14.3	TRUE																																	
L.2111696	Verleiding	803.S.002.C1 Gereedschap	Secale cereale	Rogge aar	Draadbaan		05.14.3		TRUE											Secale cereale	Rogge aar		05.14.3	TRUE																																	
L.2111698	Dood	808.P.003	Lactarius controversus	Populiermelkzwam	Museum	Draadbaan	04.10.3	los plaatsen	TRUE																													Lactarius controversus	Populiermelkzwam	Draadbaan	04.10.3	TRUE															
L.2111699	Verleiding	803.V.004.C Etalage Cadeaus	Serapias spec.	Tongorchis	Onbekend				FALSE											Serapias spec.	Tongorchis			FALSE																																	
L.2111700	Verleiding	803.N.002.C Nieuw leven	Fragaria spec.	Aardbeienplantje met uitloper	Draadbaan		05.03.1		FALSE											Fragaria spec.	Aardbeienplantje met uitloper		05.03.1	FALSE																																	
